つまらない,-1
つまる,-1
つれない,-1
つんつるてん,-1
できる,-1
でくの坊,-1
でしゃばる,-1
とげ,-1
とげとげしい,-1
とっつく,-1
とぼける,-1
とりとめる,-1
とろい,-1
とんがる,-1
とんちんかん,-1
とんでも,-1
とんま,-1
ど,-1
どぎつい,-1
どけ,-1
どじ,-1
どす黒い,-1
どっち,-1
どん,-1
なおざり,-1
なごりおしい,-1
なじむ,1
なまぬるい,-1
なよなよ,-1
なれなれしい,-1
にちゃにちゃ,-1
にぶい,-1
にべ,-1
ねたましい,-1
ねちねち,-1
のらりくらり,-1
のろい,-1
のろくさい,-1
のろのろ,-1
のろま,-1
はかばかしい,-1
はしたない,-1
はずれ,-1
はで,-1
ばか,-1
ばかくさい,-1
ばっちい,-1
ばらつき,-1
ひやひや,-1
ひょろひょろ,-1
ひ弱い,-1
びしょびしょ,-1
ふがいない,-1
ふつつか,-1
ふてぶてしい,-1
ふにゃふにゃ,-1
ふらふら,-1
ふんぞり返る,-1
ぶよぶよ,-1
へいこら,-1
へそ曲がり,-1
へたくそ,-1
へとへと,-1
へなへな,-1
べとつく,-1
べとべと,-1
ぺしゃんこ,-1
ぺてん師,-1
ほど遠い,-1
ぼさっと,-1
ぼやける,-1
ぼやぼや,-1
ぼろい,-1
ぼろぼろ,-1
ぼんくら,-1
ぼんやり,-1
まがい物,-1
まがまがしい,-1
まごまご,-1
まだるっこい,-1
ままならない,-1
みすぼらしい,-1
みっともない,-1
みにくい,-1
みみっちい,-1
むかむか,-1
むごい,-1
むごたらしい,-1
むさい,-1
むさくるしい,-1
むっと,-1
むなぐるしい,-1
むなしい,-1
めそめそ,-1
めちゃくちゃ,-1
めちゃめちゃ,-1
めんどう,-1
めんどうくさい,-1
めんどくさい,-1
もう,-1
もたつき,-1
もっさり,-1
もったいない,-1
もってのほか,-1
もどかしい,-1
ものうい,-1
ものすさまじい,-1
ものたりない,-1
もの狂おしい,-1
もの凄まじい,-1
もの悲しい,-1
やかましい,-1
やきもき,-1
やっかい,-1
やにっこい,-1
やばい,-1
やぶさか,-1
やぼ,-1
やぼったい,-1
やましい,-1
ややこしい,-1
やりきれない,-1
やり切れない,-1
やるせない,-1
やわ,-1
やわい,-1
ゆゆしい,-1
ゆるい,-1
よけい,-1
よそよそしい,-1
よれよれ,-1
よれる,-1
よわい,-1
よんどころない,-1
らち,-1
ろくでなし,-1
わいせつ,-1
わかる,-1
わざとらしい,-1
わずらわしい,-1
わびしい,-1
わや,-1
わやく,-1
アウト,-1
アホ,-1
アン,-1
イカ,-1
イマイチ,-1
イレギュラ,-1
イレギュラー,-1
インチキ,-1
インパクト,-1
エキセントリック,-1
エゴイスト,-1
エッチ,-1
オーソドックス,-1
オマケ,-1
オモチャ,-1
オヤジ,-1
オリジナリティ,-1
カッコ,1
ガキ,-1
ガタ落ち,-1
ガチガチ,-1
キズ,-1
キツイ,-1
キリ,-1
ギクシャク,-1
ギュウギュウ,-1
クセ,-1
グルーミー,-1
グロ,-1
グロッキー,-1
グロテスク,-1
コワい,-1
ショッキング,-1
ショック,-1
ショボ,-1
シリアス,-1
ジャジャ馬,-1
ズレる,-1
センス,-1
ダーティ,-1
ダーティー,-1
ダサい,-1
チグハグ,-1
チャチ,-1
チャラチャラ,-1
ディプレッション,-1
デカ,-1
デプレッション,-1
ノイジー,-1
ノンセンス,-1
バタくさい,-1
バタ臭い,-1
バラツキ,-1
パワー,-1
ヒステリック,-1
ヒヤヒヤ,-1
ヘン,-1
ミーハー,-1
ミス,-1
メチャメチャ,-1
メランコリック,-1
メリハリ,1
ヤワ,-1
ヨレヨレ,-1
ワーストワン,-1
ワンマン,-1
唖然,-1
阿呆,-1
哀しい,-1
哀しむ,-1
哀れ,-1
愛想,1
悪,-1
悪い,-1
悪賢い,-1
悪達者,-1
悪辣,-1
扱い,1
安っぽい,-1
安普請,-1
安物,-1
暗い,-1
暗む,-1
暗愚,-1
暗鬱,-1
暗澹,-1
意気地無し,-1
意固地,-1
意志,-1
意地,-1
意地っぱり,-1
意地っ張り,-1
意地汚い,-1
意地張り,-1
違和感,1
一巻,-1
一苦労,-1
一文惜しみ,-1
引っ込み,-1
引っ込み思案,-1
淫蕩,-1
淫猥,-1
淫靡,-1
陰うつ,-1
陰気臭い,-1
陰険,-1
陰惨,-1
陰湿,-1
陰鬱,-1
烏滸がましい,-1
迂遠,-1
迂愚,-1
迂闊,-1
雲泥の差,-1
影,-1
厭,-1
厭わしい,-1
怨めしい,-1
縁,-1
汚い,-1
汚らしい,-1
汚らわしい,-1
汚れ,1
汚穢,-1
奥行き,-1
押し,1
押し付けがましい,-1
横柄,-1
横様,-1
臆病者,-1
下らない,-1
下賎,-1
下等,-1
下劣,-1
可哀相,-1
禍々しい,-1
禍禍しい,-1
苛酷,-1
苛烈,-1
過ち,-1
過酷,-1
我が物顔,-1
画一,-1
怪しい,-1
怪しげ,-1
怪異,-1
怪奇,-1
格好,1
角,-1
角張り,-1
隔靴掻痒,-1
隔心,-1
楽しみ,-1
割に,1
恰好,1
寒々,-1
寒ざむ,-1
寒寒,-1
勘弁,-1
感情,-1
甘,-1
甘ったれる,-1
緩い,-1
間,-1
間延び,-1
閑散,-1
頑愚,-1
頑冥,-1
頑迷,-1
顔負け,-1
危うい,-1
危ない,-1
危なっかしい,-1
